,count,mean,std,min,25%,50%,75%,95%,99%,max
trip_distance,2635731.0,3.406723292323838,4.284816046614191,0.1,1.03,1.75,3.42,14.1,19.55,30.0
fare_amount,2635731.0,20.021913180821564,16.57875580212667,3.0,9.3,14.2,23.3,60.4,73.7,150.0
trip_duration_min,2635731.0,18.905579559016708,16.608141933280464,1.0,8.333333333333334,13.916666666666666,23.266666666666666,52.81666666666667,84.01666666666667,179.86666666666667
passenger_count,2635731.0,1.238664340177355,0.6191884649041929,1.0,1.0,1.0,1.0,2.0,4.0,6.0
tip_amount,2635731.0,4.21598610404476,3.8714904647548134,0.0,2.0,3.3,5.0,12.8,18.69,99.99
tip_rate,2635731.0,0.24196635916188072,0.12225719958900923,0.0,0.17885714285714285,0.2608974358974359,0.3106060606060606,0.4161073825503356,0.5313725490196078,1.0
