fare_group,trip_count,tip_trip_count,tip_payment_rate,average_tip_amount_all,median_tip_amount_all,average_tip_rate_all,median_tip_rate_all,average_tip_amount_payers,average_tip_rate_payers,tip_payment_rate_pct,average_tip_rate_all_pct,average_tip_rate_payers_pct
$10 이하,787016,749159,0.9518980554397878,2.337028484808441,2.47,0.3077253928960762,0.3225806451612903,2.4551247598974317,0.3232755767674129,95.18980554397878,30.77253928960762,32.32755767674129
$10~20,1024600,963784,0.9406441538161233,3.4289456666016007,3.65,0.24017408091408843,0.26690140845070426,3.6453165128286007,0.2553293718349495,94.06441538161233,24.017408091408843,25.53293718349495
$20~30,370382,308564,0.83309664076548,4.526170359250719,5.39,0.18770022483854382,0.23773584905660378,5.432947557070818,0.22530426321978433,83.30966407654799,18.770022483854383,22.53042632197843
$30~50,272655,201405,0.7386807503988557,6.572775338798115,7.63,0.17108290694055414,0.22516411378555795,8.89799190685435,0.2316060176851458,73.86807503988557,17.108290694055412,23.16060176851458
$50 초과,181078,154535,0.8534167596284474,12.652650460022754,14.9,0.18402935758073025,0.21846153846153846,14.825875303329344,0.21563832149353526,85.34167596284475,18.402935758073024,21.563832149353527
