passenger_group,trip_count,tip_trip_count,tip_payment_rate,average_tip_amount_all,median_tip_amount_all,average_tip_rate_all,median_tip_rate_all,average_tip_amount_payers,average_tip_rate_payers,tip_payment_rate_pct,average_tip_rate_all_pct,average_tip_rate_payers_pct
1명,2189854,1957799,0.8940317482352704,4.085658249362743,3.23,0.2406773457953093,0.2608974358974359,4.5699252374733055,0.2692044731860836,89.40317482352704,24.06773457953093,26.92044731860836
2명,327160,309687,0.9465918816481232,4.940493183763296,3.64,0.2500215863623789,0.2608974358974359,5.219243139040386,0.2641281752037247,94.65918816481232,25.002158636237894,26.41281752037247
3명,68541,63719,0.9296479479435666,4.598244700252403,3.46,0.2438794094903826,0.25979729729729734,4.94622153517789,0.2623352313419908,92.96479479435666,24.38794094903826,26.233523134199082
4명 이상,50176,46242,0.9215959821428571,4.657807916135204,3.51,0.2430880221752555,0.2597391598915989,5.0540670818736215,0.26376853511235715,92.15959821428571,24.30880221752555,26.376853511235716
