time_group,trip_count,tip_trip_count,tip_payment_rate,average_tip_amount_all,median_tip_amount_all,average_tip_rate_all,median_tip_rate_all,average_tip_amount_payers,average_tip_rate_payers,tip_payment_rate_pct,average_tip_rate_all_pct,average_tip_rate_payers_pct
아침,436206,370578,0.8495481492689234,3.7036782391805705,2.94,0.22244983080562744,0.25264,4.359586025074343,0.2618448771821304,84.95481492689234,22.244983080562744,26.184487718213038
낮,924796,829277,0.896713437341857,4.393769188015519,3.35,0.23469700332693566,0.2542372881355932,4.899858756483057,0.26173021787501255,89.67134373418571,23.469700332693566,26.173021787501256
저녁,851395,793942,0.9325189835505259,4.29084112544706,3.46,0.2591750474534339,0.2734375,4.601344531464515,0.2779300497096971,93.25189835505259,25.91750474534339,27.793004970969708
심야,423334,383650,0.9062584153410782,4.204948692994185,3.3,0.24334708170936054,0.2649717514124294,4.639900299752378,0.26851842431474116,90.62584153410782,24.334708170936054,26.851842431474115
