distance_group,trip_count,tip_trip_count,tip_payment_rate,average_tip_amount_all,median_tip_amount_all,average_tip_rate_all,median_tip_rate_all,average_tip_amount_payers,average_tip_rate_payers,tip_payment_rate_pct,average_tip_rate_all_pct,average_tip_rate_payers_pct
1마일 이하,635073,599132,0.943406506023717,2.3948980353439686,2.44,0.3074221147746813,0.3227848101265822,2.5385642562907673,0.32586389092270346,94.3406506023717,30.74221147746813,32.586389092270345
1~3마일,1251339,1175953,0.9397557336581054,3.4001657744224385,3.44,0.24473452807329737,0.2676056338028169,3.618137833739954,0.26042355402359774,93.97557336581053,24.47345280732974,26.042355402359775
3~5마일,279943,245570,0.8772142900519034,4.731338093826243,5.15,0.19918217364822777,0.23958333333333334,5.39359441299833,0.2270621624693807,87.72142900519034,19.918217364822777,22.70621624693807
5~10마일,246680,191767,0.7773917626074266,6.697792443651695,7.21,0.1792582053412196,0.22753623188405797,8.615723456069084,0.23058927810088314,77.73917626074265,17.92582053412196,23.058927810088313
10마일 초과,222696,165025,0.7410326184574487,10.596480089449294,12.35,0.16299269024999177,0.213013698630137,14.299613573700954,0.21995346249302936,74.10326184574487,16.299269024999177,21.995346249302937
